DEPT	AC	GR	SP	DEN	por	per	sw
2540.375	92.592	53.016	-203.625	2.406	9.2592	5.3016	5.3016
2540.5	94.11	52.966	-203.625	2.4	9.411	5.2966	5.2966
2540.625	94.661	53.382	-203.582	2.394	9.4661	5.3382	5.3382
2540.75	95.567	53.757	-203.499	2.389	9.5567	5.3757	5.3757
2540.875	96.135	55.63	-203.334	2.379	9.6135	5.563	5.563
2541	96.094	56.016	-203.078	2.364	9.6094	5.6016	5.6016
2541.125	97.694	57.461	-202.822	2.371	9.7694	5.7461	5.7461
2541.25	96.127	58.577	-202.763	2.361	9.6127	5.8577	5.8577
2541.375	96.312	58.693	-202.788	2.354	9.6312	5.8693	5.8693
2541.5	96.137	57.891	-202.894	2.34	9.6137	5.7891	5.7891
2541.625	95.717	56.122	-203.063	2.327	9.5717	5.6122	5.6122
2541.75	96.646	55.557	-203.292	2.331	9.6646	5.5557	5.5557
2541.875	96.605	53.848	-203.753	2.336	9.6605	5.3848	5.3848
2542	96.243	52.286	-203.901	2.34	9.6243	5.2286	5.2286
2542.125	96.474	52.554	-203.771	2.34	9.6474	5.2554	5.2554
2542.25	96.906	55.38	-203.405	2.339	9.6906	5.538	5.538
2542.375	97.423	57.422	-202.924	2.339	9.7423	5.7422	5.7422
2542.5	98.941	58.805	-202.565	2.344	9.8941	5.8805	5.8805
2542.625	98.583	58.539	-202.257	2.346	9.8583	5.8539	5.8539
2542.75	99.388	57.842	-201.831	2.33	9.9388	5.7842	5.7842
2542.875	100.196	58.489	-201.397	2.321	10.0196	5.8489	5.8489
2543	100.536	58.248	-201.142	2.32	10.0536	5.8248	5.8248
2543.125	100.533	58.152	-201.205	2.312	10.0533	5.8152	5.8152
2543.25	100.82	58.216	-201.359	2.313	10.082	5.8216	5.8216
2543.375	100.335	59.001	-201.008	2.311	10.0335	5.9001	5.9001
2543.5	100.178	59.923	-200.667	2.322	10.0178	5.9923	5.9923
2543.625	100.181	58.862	-200.5	2.329	10.0181	5.8862	5.8862
2543.75	99.963	60.946	-200.647	2.322	9.9963	6.0946	6.0946
2543.875	99.239	59.8	-201.251	2.312	9.9239	5.98	5.98
2544	101.044	60.084	-201.302	2.301	10.1044	6.0084	6.0084
2544.125	101.531	60.063	-201.148	2.295	10.1531	6.0063	6.0063
2544.25	102.579	57.211	-201.361	2.293	10.2579	5.7211	5.7211
2544.375	104.127	57.41	-201.818	2.285	10.4127	5.741	5.741
2544.5	105.162	55.425	-202.162	2.266	10.5162	5.5425	5.5425
2544.625	104.547	55.11	-202.419	2.249	10.4547	5.511	5.511
2544.75	105.069	54.71	-202.248	2.23	10.5069	5.471	5.471
2544.875	104.122	53.842	-202.296	2.227	10.4122	5.3842	5.3842
2545	103.5	54.248	-202.748	2.236	10.35	5.4248	5.4248
2545.125	103.405	55.011	-203.381	2.254	10.3405	5.5011	5.5011
2545.25	102.008	56.162	-203.627	2.279	10.2008	5.6162	5.6162
2545.375	102.172	56.169	-203.679	2.299	10.2172	5.6169	5.6169
2545.5	101.181	54.786	-203.9	2.313	10.1181	5.4786	5.4786
2545.625	100.4	52.644	-204.031	2.326	10.04	5.2644	5.2644
2545.75	99.571	51.4	-203.902	2.341	9.9571	5.14	5.14
2545.875	98.373	50.385	-203.554	2.359	9.8373	5.0385	5.0385
2546	97.922	50.187	-203.502	2.373	9.7922	5.0187	5.0187
2546.125	97.042	49.436	-203.451	2.377	9.7042	4.9436	4.9436
2546.25	96.68	47.326	-203.438	2.379	9.668	4.7326	4.7326
2546.375	95.82	44.05	-203.438	2.37	9.582	4.405	4.405
2546.5	95.391	42.937	-203.377	2.349	9.5391	4.2937	4.2937
2546.625	97.462	45.264	-203.172	2.323	9.7462	4.5264	4.5264
2546.75	98.283	49.751	-202.967	2.315	9.8283	4.9751	4.9751
2546.875	100.752	54.199	-202.674	2.322	10.0752	5.4199	5.4199
2547	102.795	56.728	-202.269	2.311	10.2795	5.6728	5.6728
2547.125	104.247	56.808	-201.957	2.289	10.4247	5.6808	5.6808
2547.25	105.265	56.577	-201.804	2.269	10.5265	5.6577	5.6577
